STT,Hãng xe,Dòng xe,Năm sản xuất,Số km đã chạy,Tình trạng xe,đã phụ tùng chưa thay,Khu vực bán,Giá bán
189,Kawasaki,Ninja,2017,25000,8,đã thay,Hà Nội ,34.567.890.00
190,Kawasaki,Z300,2018,12000,"7,5",đã thay,Hà Nội ,40.000.000.00
191,Honda,Winner v3,2024,10000,7,chưa thay,Đà Nẵng,"30.800.000,00"
192,Honda,Future,2026,1000,8,chưa thay,Đà Nẵng,"33.000.000,00"
193,Honda,Future,2022,27000,7,chưa thay,Đà Nẵng,"22.000.000,00"
194,Honda,Future,2017,27000,7,chưa thay,Đà Nẵng,"18.500.000,00"
195,Honda,Future,2021,25000,7,chưa thay,Đà Nẵng,"23.500.000,00"
196,Honda,Future ,2007,47000,7,chưa thay,Đà Nẵng,"30.000.000,00"
197,Honda,Future,2017,30000,7,chưa thay,Đà Nẵng,"17.000.000,00"
198,Honda,Future,2019,28363,6,chưa thay,Đà Nẵng,"21.500.000,00"
199,Honda,Future,2019,15387,7,đã thay,Đà Nẵng,"16.500.000,00"
200,Honda,Future,2017,1191,7,chưa thay,Đà Nẵng,"12.500.000,00"
